Player,TEAM,Inns,Runs,Avg,Strikerate,Wickets,Best_Bowilng,Economy,4w,5w,Cluster,Grade
Jhye Richardson,Perth Scorchers,17,463,15.965517241379,12.724137931034,29,20,7.5284552845528,2,0,0,A
Ben Dwarshuis,Sydney Sixers,13,403,16.791666666667,11.375,24,9,8.8571428571429,1,0,0,A
Mark Steketee,Brisbane Heat,16,522,21.75,14.08325,24,29,9.2663270196865,1,0,0,A
Wes Agar,Adelaide Strikers,15,457,20.772727272727,14.909181818182,22,23,8.3597051237492,1,0,0,A
Tanveer Sangha,Sydney Thunder,15,394,18.761904761905,13.571428571429,21,10,8.2947368421053,1,0,0,A
Andrew Tye,Perth Scorchers,16,433,20.619047619048,15.476,21,16,7.9939445408559,1,0,0,A
Nathan Ellis,Hobart Hurricanes,14,446,22.3,16.1499,20,30,8.2848810209351,1,0,0,A
Peter Siddle,Adelaide Strikers,13,323,17.0,13.684105263158,19,11,7.4539034915653,0,1,0,A
Adam Zampa,Melbourne Stars,12,332,17.473684210526,14.262947368421,19,12,7.3506620023912,0,1,0,A
Scott Boland,Hobart Hurricanes,14,432,25.411764705882,19.176352941176,17,37,7.9509690243498,1,0,0,A
Rashid Khan,Adelaide Strikers,10,268,16.75,14.625,16,15,6.8717948717949,0,0,0,A
Peter Hatzoglou,Melbourne Renegades,11,358,22.375,16.125,16,40,8.3255813953488,0,0,0,A
Carlos Brathwaite,Sydney Sixers,16,385,24.0625,18.0,16,14,8.0208333333333,1,0,0,A
Riley Meredith,Hobart Hurricanes,13,394,24.625,18.874875,16,18,7.8278664097113,0,0,0,A
Jason Behrendorff,Perth Scorchers,16,373,23.3125,19.875,16,15,7.0377358490566,0,0,0,A
Kane Richardson,Melbourne Renegades,11,324,21.6,16.2,15,19,8.0,0,0,0,A
Nathan McAndrew,Sydney Thunder,13,329,21.933333333333,17.6,15,38,7.4772727272727,0,0,0,A
Daniel Christian,Sydney Sixers,14,398,26.533333333333,18.0,15,33,8.8444444444444,0,0,0,A
Steve Okeefe,Sydney Sixers,14,340,22.666666666667,19.6,15,12,6.9387755102041,0,0,0,A
Fawad Ahmed,Perth Scorchers,16,436,29.066666666667,22.6,15,22,7.716814159292,0,0,0,A
Mujeeb Ur Rahman,Brisbane Heat,8,188,13.428571428571,12.857142857143,14,10,6.2666666666667,0,1,1,B
Liam Hatcher,Melbourne Stars,9,308,23.692307692308,16.000153846154,13,25,8.8845299564427,0,0,0,A
Billy Stanlake,Melbourne Stars,12,324,24.923076923077,17.922923076923,13,22,8.3434192568177,0,0,0,A
Chris Green,Sydney Thunder,14,336,25.846153846154,18.0,13,30,8.6153846153846,1,0,0,A
Jack Wildermuth,Brisbane Heat,12,312,24.0,19.384615384615,13,20,7.4285714285714,0,0,0,A
Xavier Bartlett,Brisbane Heat,15,327,27.25,20.5,12,21,7.9756097560976,0,0,0,A
Nathan Coulter-Nile,Melbourne Stars,6,172,15.636363636364,11.908909090909,11,6,7.8779828699675,1,0,1,B
Daniel Sams,Sydney Thunder,9,261,23.727272727273,17.272909090909,11,22,8.2420185050684,0,0,0,A
Danny Briggs,Adelaide Strikers,14,340,30.909090909091,24.999818181818,11,17,7.4182357689874,0,0,0,A
Zak Evans,Melbourne Renegades,5,146,14.6,9.0,10,28,9.7333333333333,0,1,1,B
Marnus Labuschagne,Brisbane Heat,6,146,14.6,10.2,10,10,8.5882352941176,0,0,1,B
Daniel Worrall,Adelaide Strikers,10,271,27.1,22.2996,10,10,7.2916106118495,0,0,0,A
Imad Wasim,Melbourne Renegades,10,266,26.6,22.2996,10,11,7.1570790507453,0,0,0,A
Aaron Hardie,Perth Scorchers,16,397,39.7,26.4,10,43,9.0227272727273,0,0,0,A
Brendan Doggett,Sydney Thunder,5,120,13.333333333333,12.066666666667,9,18,6.6298342541436,1,0,1,B
Mitchell Swepson,Brisbane Heat,6,162,18.0,16.0,9,18,6.75,0,0,1,B
Jake Ball,Sydney Sixers,7,267,29.666666666667,16.0,9,22,11.125,0,0,0,A
James Faulkner,Hobart Hurricanes,5,132,16.5,13.25025,8,18,7.4715571404313,0,0,1,B
Sandeep Lamichhane,Hobart Hurricanes,8,234,29.25,23.25,8,22,7.5483870967742,0,0,0,A
D Arcy Short,Hobart Hurricanes,14,254,31.75,24.0,8,15,7.9375,0,0,0,A
Sean Abbott,Sydney Sixers,4,131,18.714285714286,12.0,7,26,9.3571428571429,0,0,1,B
Lewis Gregory,Brisbane Heat,11,275,39.285714285714,23.142857142857,7,19,10.185185185185,0,0,0,A
Glenn Maxwell,Melbourne Stars,12,221,31.571428571429,24.714,7,10,7.6648284951271,0,0,0,A
Jackson Bird,Sydney Sixers,9,215,30.714285714286,24.857142857143,7,12,7.4137931034483,0,0,0,A
Josh Lalor,Melbourne Renegades,7,274,45.666666666667,26.0,6,27,10.538461538462,0,0,0,A
Zahir Khan,Melbourne Stars,8,201,33.5,29.0,6,17,6.9310344827586,0,0,1,B
Liam Livingstone,Perth Scorchers,6,85,17.0,12.0,5,8,8.5,0,0,1,B
Sam Rainbird,Melbourne Stars,5,149,29.8,21.6,5,20,8.2777777777778,0,0,1,B
Morne Morkel,Brisbane Heat,6,176,35.2,25.2,5,22,8.3809523809524,0,0,1,B
Jack Prestwidge,Melbourne Renegades,8,171,34.2,26.4,5,18,7.7727272727273,0,0,1,B
Ben Manenti,Sydney Sixers,8,159,31.8,26.4,5,21,7.2272727272727,0,0,1,B
Adam Milne,Sydney Thunder,12,333,66.6,52.8,5,19,7.5681818181818,0,0,0,A
Nic Maddinson,Melbourne Stars,5,60,15.0,12.0,4,6,7.5,0,0,1,B
Mitchell Marsh,Perth Scorchers,5,75,18.75,17.25,4,12,6.5217391304348,0,0,1,B
Michael Neser,Adelaide Strikers,4,91,22.75,18.0,4,15,7.5833333333333,0,0,1,B
Mohammad Nabi,Melbourne Renegades,7,140,35.0,22.5,4,9,9.3333333333333,0,0,1,B
Will Sutherland,Melbourne Renegades,6,164,41.0,23.7495,4,21,10.358112802375,0,0,1,B
Lloyd Pope,Sydney Sixers,6,149,37.25,27.0,4,11,8.2777777777778,0,0,1,B
Ben Cutting,Sydney Thunder,14,232,58.0,43.5,4,15,8.0,0,0,0,A
Dilbar Hussain,Melbourne Stars,2,36,12.0,11.666,3,23,6.1717812446426,0,0,1,B
Chris Tremain,Sydney Thunder,3,81,27.0,15.666,3,25,10.340865568748,0,0,1,B
Jonathan Cook,Sydney Thunder,3,87,29.0,18.0,3,29,9.6666666666667,0,0,1,B
Johan Botha,Hobart Hurricanes,5,86,28.666666666667,22.0,3,18,7.8181818181818,0,0,1,B
James Bazley,Brisbane Heat,6,94,31.333333333333,24.0,3,15,7.8333333333333,0,0,1,B
Matthew Kuhnemann,Brisbane Heat,6,104,34.666666666667,28.0,3,14,7.4285714285714,0,0,1,B
Jack Wood,Brisbane Heat,1,28,14.0,9.0,2,26,9.3333333333333,0,0,1,B
Clint Hinchcliff,Melbourne Stars,4,62,31.0,18.0,2,17,10.333333333333,0,0,1,B
Marcus Stoinis,Melbourne Stars,3,46,23.0,18.0,2,15,7.6666666666667,0,0,1,B
Hilton Cartwright,Melbourne Stars,4,96,48.0,18.498,2,32,15.569250729809,0,0,1,B
Harry Conway,Adelaide Strikers,3,71,35.5,30.0,2,18,7.1,0,0,1,B
Jason Holder,Sydney Sixers,3,83,41.5,30.0,2,25,8.3,0,0,1,B
Liam O Connor,Adelaide Strikers,5,100,50.0,45.0,2,19,6.6666666666667,0,0,1,B
Noor Ahmad,Melbourne Renegades,6,184,92.0,66.0,2,26,8.3636363636364,0,0,1,B
Mitchell Perry,Melbourne Renegades,1,33,33.0,12.0,1,32,16.5,0,0,1,B
Arjun Nair,Sydney Thunder,1,19,19.0,18.0,1,18,6.3333333333333,0,0,1,B
Cameron Valente,Adelaide Strikers,1,36,36.0,24.0,1,35,9.0,0,0,1,B
Will Jacks,Hobart Hurricanes,3,35,35.0,24.0,1,8,8.75,0,0,1,B
Keemo Paul,Hobart Hurricanes,2,68,68.0,30.0,1,40,13.6,0,0,1,B
Gurinder Sandhu,Sydney Sixers,3,55,55.0,30.0,1,27,11.0,0,0,1,B
Travis Head,Adelaide Strikers,3,44,44.0,36.0,1,14,7.3333333333333,0,0,1,B
Haris Rauf,Melbourne Stars,3,68,68.0,36.0,1,32,11.333333333333,0,0,1,B
Beau Webster,Melbourne Renegades,6,109,109.0,96.0,1,13,6.8125,0,0,1,B
Ben Laughlin,Brisbane Heat,8,259,259.0,174.0,1,23,8.9310344827586,0,0,0,A
Matt Renshaw,Adelaide Strikers,4,59,59.0,59.0,0,9,9.8333333333333,0,0,1,B
Matthew Short,Adelaide Strikers,2,17,17.0,17.0,0,8,8.5,0,0,1,B
Liam Scott,Adelaide Strikers,1,28,28.0,28.0,0,28,14.0,0,0,1,B
Ryan Gibson,Adelaide Strikers,1,10,10.0,10.0,0,10,10.0,0,0,1,B
Daniel Lawrence,Brisbane Heat,2,26,26.0,26.0,0,10,8.6666666666667,0,0,1,B
Simon Milenko,Brisbane Heat,1,4,4.0,4.0,0,4,24.096385542169,0,0,1,B
Joe Denly,Brisbane Heat,2,23,23.0,23.0,0,8,7.6666666666667,0,0,1,B
Tim David,Hobart Hurricanes,1,1,1.0,1.0,0,1,3.003003003003,0,0,1,B
Will Parker,Hobart Hurricanes,2,48,48.0,48.0,0,27,9.6,0,0,1,B
Nick Winter,Hobart Hurricanes,3,58,58.0,58.0,0,24,8.2857142857143,0,0,1,B
Mitchell Owen,Hobart Hurricanes,1,18,18.0,18.0,0,18,18.0,0,0,1,B
Benny Howell,Melbourne Renegades,2,36,36.0,36.0,0,14,7.2,0,0,1,B
Jon Holland,Melbourne Renegades,1,20,20.0,20.0,0,20,10.0,0,0,1,B
Jake Fraser-McGurk,Melbourne Renegades,1,10,10.0,10.0,0,10,10.0,0,0,1,B
Andre Fletcher,Melbourne Stars,1,8,8.0,8.0,0,8,8.0,0,0,1,B
Tom O Connell,Melbourne Stars,1,15,15.0,15.0,0,15,15.0,0,0,1,B
Lance Morris,Melbourne Stars,2,37,37.0,37.0,0,14,12.333333333333,0,0,1,B
Ashton Turner,Perth Scorchers,5,54,54.0,54.0,0,8,9.8181818181818,0,0,1,B
Joel Paris,Perth Scorchers,1,10,10.0,10.0,0,10,10.0,0,0,1,B
