Player,Maidens,Wickets,Dots,Runs_Conceded,Cluster,Grade
Shakib Al Hasan,0,20,177,769,1,A
Shivam Mavi,2,25,218,715,1,A
Lockie Ferguson,1,24,197,648,0,B
Varun Chakravarthy,0,36,268,839,1,A
Sunil Narine,1,58,564,1889,1,A
Venkatesh Iyer,0,3,14,69,0,B
Deepak Chahar,6,59,570,1681,1,A
Josh Hazlewood,0,12,118,357,0,B
Shardul Thakur,2,66,472,1829,1,A
Dwayne Bravo,1,45,272,1306,1,A
Ravindra Jadeja,2,50,430,1659,1,A
Anrich Nortje,1,34,244,699,1,A
Ravichandran Ashwin,0,45,373,1532,1,A
Avesh Khan,0,29,226,749,1,A
Axar Patel,0,52,436,1577,1,A
Kagiso Rabada,2,76,456,1560,1,A
Mohammed Siraj,4,50,433,1437,1,A
George Garton,0,3,32,135,0,B
Harshal Patel,0,47,204,880,1,A
Yuzvendra Chahal,3,83,589,1861,1,A
Glenn Maxwell,0,18,133,561,0,B
Dan Christian,0,4,29,155,0,B
Moeen Ali,0,16,148,469,0,B
Tom Curran,0,13,59,430,0,B
Ripal Patel,0,0,5,22,0,B
Mohammad Nabi,0,13,134,408,0,B
Siddarth Kaul,1,52,331,1400,1,A
Jason Holder,0,30,133,480,0,B
Umran Malik,0,2,31,96,0,B
Rashid Khan,4,93,760,1912,1,A
Abhishek Sharma,0,7,37,176,0,B
Trent Boult,5,66,515,1708,1,A
Jasprit Bumrah,5,104,749,2035,1,A
Piyush Chawla,0,37,273,1219,1,A
Nathan Coulter-Nile,0,27,196,561,0,B
James Neesham,0,7,47,214,0,B
Krunal Pandya,0,45,424,1537,1,A
Jaydev Unadkat,3,53,368,1602,1,A
Chris Morris,1,54,353,1275,1,A
Chetan Sakariya,1,14,113,426,0,B
Mustafizur Rahman,0,21,175,700,0,B
Shivam Dube,0,4,24,130,0,B
Rahul Tewatia,0,29,230,930,1,A
Glenn Phillips,0,1,4,20,0,B
Mohammed Shami,1,66,489,1711,1,A
Harpreet Brar,1,5,69,228,0,B
Arshdeep Singh,1,30,164,669,0,B
Chris Jordan,0,14,103,440,0,B
Ravi Bishnoi,1,24,209,606,0,B
Moises Henriques,0,5,58,293,0,B
Shahbaz Ahmed,0,9,30,136,0,B
Bhuvneshwar Kumar,3,57,566,1618,1,A
Jayant Yadav,0,4,88,265,0,B
Kieron Pollard,0,9,59,315,0,B
Shreyas Gopal,1,41,273,1094,1,A
Kuldip Yadav,0,0,5,16,0,B
Tim Southee,1,12,123,570,0,B
Aiden Markram,0,0,9,23,0,B
Akash Singh,0,0,7,39,0,B
Mayank Markande,0,16,102,453,0,B
Sam Curran,0,32,227,995,1,A
KM Asif,0,4,18,93,0,B
Fabian Allen,1,1,20,90,0,B
Nathan Ellis,0,1,24,90,0,B
Nitish Rana,0,7,37,151,0,B
Sandeep Sharma,0,58,488,1660,1,A
Kartik Tyagi,0,13,120,491,0,B
Mahipal Lomror,0,1,15,74,0,B
Riyan Parag,0,3,28,221,0,B
Rahul Chahar,0,43,339,1117,1,A
Sandeep Warrier,0,2,44,134,0,B
Lalit Yadav,0,4,21,101,0,B
Adam Milne,0,6,60,265,0,B
Kyle Jamieson,0,9,70,269,0,B
Prasidh Krishna,0,30,292,1152,1,A
Andre Russell,0,41,215,1005,1,A
Khaleel Ahmed,0,32,212,786,1,A
Abdul Samad,0,2,10,105,0,B
Tabraiz Shamsi,0,0,2,34,0,B
Navdeep Saini,1,17,262,828,1,A
Wanindu Hasaranga de Silva,0,0,11,60,0,B
Rohit Sharma,0,0,0,13,0,B
Marcus Stoinis,0,22,125,775,1,A
Ishan Porel,0,1,10,39,0,B
Deepak Hooda,0,5,47,232,0,B
Adil Rashid,0,0,6,35,0,B
Ishant Sharma,3,14,191,651,0,B
Riley Meredith,0,4,38,169,0,B
Vijay Shankar,0,9,75,310,0,B
Dhawal Kulkarni,1,13,179,766,1,A
Lungi Ngidi,2,25,139,448,0,B
Daniel Sams,0,1,37,153,0,B
Pat Cummins,0,36,298,1019,1,A
Jagadeesha Suchith,0,2,22,94,0,B
Amit Mishra,2,42,279,1058,1,A
Washington Sundar,1,27,281,867,1,A
Imran Tahir,1,53,317,1080,1,A
Kane Richardson,0,1,5,29,0,B
Kamlesh Nagarkoti,0,5,48,256,0,B
Murugan Ashwin,0,19,168,640,0,B
Chris Woakes,0,30,173,658,0,B
Lukman Meriwala,0,1,6,32,0,B
Jalaj Saxena,0,0,5,27,0,B
Jhye Richardson,0,3,24,117,0,B
Harbhajan Singh,1,31,302,911,1,A
Mujeeb Ur Rahman,0,19,152,592,0,B
Shahbaz Nadeem,0,17,118,584,0,B
T Natarajan,1,20,175,688,0,B
Marco Jansen,0,2,14,45,0,B
Ben Stokes,2,28,250,974,1,A
James Pattinson,0,11,78,320,0,B
Sheldon Cottrell,1,6,59,176,0,B
Krishnappa Gowtham,0,13,139,562,0,B
Mohit Sharma,0,22,154,804,1,A
Mitchell Marsh,0,0,1,6,0,B
Dale Steyn,0,5,44,202,0,B
Umesh Yadav,1,45,379,1282,1,A
Jofra Archer,2,46,393,981,1,A
Kuldeep Yadav,0,34,243,1136,1,A
Ankit Rajpoot,1,20,182,681,0,B
Isuru Udana,0,8,49,282,0,B
Adam Zampa,0,9,59,255,0,B
Kane Williamson,0,0,0,24,0,B
Karn Sharma,0,23,125,501,0,B
Varun Aaron,1,11,104,373,0,B
Andrew Tye,0,40,200,872,1,A
Tushar Deshpande,0,3,29,192,0,B
Chris Green,0,0,6,24,0,B
Basil Thampi,0,17,122,694,0,B
Monu Kumar,0,0,4,20,0,B
Mitchell Santner,0,6,49,147,0,B
David Warner,0,0,0,2,0,B
Praveen Dubey,0,0,12,72,0,B
Chris Gayle,0,0,0,5,0,B
Suresh Raina,0,1,21,108,0,B
Rasikh Salam,0,0,8,42,0,B
Mitchell McClenaghan,1,36,272,981,1,A
Hardik Pandya,0,38,243,984,1,A
Ben Cutting,0,4,46,318,0,B
Keemo Paul,0,9,54,237,0,B
Hardus Viljoen,0,7,47,222,0,B
Mandeep Singh,0,0,1,26,0,B
Colin de Grandhomme,0,6,62,319,0,B
Lasith Malinga,0,27,188,820,1,A
Sandeep Lamichhane,0,13,77,292,0,B
Prayas Ray Barman,0,0,2,56,0,B
Hanuma Vihari,0,0,0,9,0,B
Stuart Binny,0,5,24,127,0,B
Jason Behrendorff,0,5,54,165,0,B
Pawan Negi,0,20,119,348,0,B
Scott Kuggeleijn,0,2,17,71,0,B
Yusuf Pathan,0,2,11,63,0,B
Alzarri Joseph,1,6,25,87,0,B
Harry Gurney,0,7,51,238,0,B
Sudhesan Midhun,0,0,4,27,0,B
Carlos Brathwaite,0,6,35,190,0,B
Liam Livingstone,0,0,3,13,0,B
Sarfaraz Khan,0,0,0,6,0,B
Ish Sodhi,1,9,66,202,0,B
Sherfane Rutherford,0,1,8,59,0,B
Prithvi Raj,0,1,8,57,0,B
KC Cariappa,0,4,23,161,0,B
Oshane Thomas,0,5,22,79,0,B
Anukul Roy,0,1,4,11,0,B
Barinder Sran,0,4,58,309,0,B
Kulwant Khejroliya,0,3,29,153,0,B
Shane Watson,0,11,105,496,0,B
Mark Wood,0,0,6,49,0,B
Daniel Christian,0,15,101,399,0,B
Vinay Kumar,0,4,14,96,0,B
Mitchell Johnson,1,9,104,357,0,B
Billy Stanlake,0,7,64,200,0,B
Ben Laughlin,0,9,34,211,0,B
D'Arcy Short,0,1,8,19,0,B
Pradeep Sangwan,0,5,51,200,0,B
Akila Dananjaya,0,0,6,47,0,B
Yuvraj Singh,0,1,3,45,0,B
Corey Anderson,0,6,37,301,0,B
Liam Plunkett,0,4,42,225,0,B
Manoj Tiwary,0,0,0,10,0,B
Jean-Paul Duminy,0,0,6,36,0,B
David Willey,0,2,20,95,0,B
Anureet Singh,0,1,6,68,0,B
Ankit Sharma,0,0,2,27,0,B
Javon Searles,0,2,7,89,0,B
Junior Dala,0,0,7,34,0,B
Tymal Mills,0,5,45,153,0,B
Aniket Choudhary,2,5,42,144,0,B
Sreenath Aravind,0,5,61,275,0,B
Travis Head,0,2,7,81,0,B
Ashish Nehra,0,8,48,197,0,B
Bipul Sharma,0,3,30,129,0,B
Ashok Dinda,0,1,23,119,0,B
Rajat Bhatia,0,2,9,55,0,B
Praveen Kumar,0,6,42,151,0,B
Manpreet Gony,0,0,4,32,0,B
Shivil Kaushik,0,0,21,105,0,B
Dwayne Smith,0,2,20,148,0,B
Shadab Jakati,0,0,4,52,0,B
Swapnil Singh,0,1,7,61,0,B
Zaheer Khan,0,10,79,313,0,B
Iqbal Abdulla,0,2,6,55,0,B
Tejas Baroka,0,0,6,33,0,B
Samuel Badree,1,9,64,188,0,B
Munaf Patel,0,1,11,57,0,B
Angelo Mathews,0,0,4,56,0,B
James Faulkner,0,6,41,258,0,B
Shubham Agarwal,0,1,7,42,0,B
Nathu Singh,0,1,16,15,0,B
Rahul Tripathi,0,0,0,12,0,B
Ankit Soni,0,2,38,144,0,B
Irfan Pathan,0,0,4,26,0,B
Marlon Samuels,0,0,5,34,0,B
Matt Henry,0,1,7,71,0,B
